ride_id,customer_id,gender,ride_datetime,signup_date,trip_duration_min,distance_km,fare_amount,traffic_level,ride_status,fare_amount_winsorized,hour,day of week,month,gender_encoded,ride_payment_mode_Cash,ride_payment_mode_UPI,zone_name_Zone_B,zone_name_Zone_C,zone_name_Zone_D,traffic_level_encoded,ride_frequency,frequency_category,fare_log,avg_ride_distance,avg_ride_fare,is_peak_hour,ride_cancellation_rate,surge_flag
1.0,1046.0,Female,2023-01-01 04:41:00,04-04-2021,16.386162976432562,8.868857238589374,61.74823297586704,Low,Completed,61.74823297586704,4,Sunday,1,0,True,False,False,False,False,1,4,Low,4.1391304178682615,8.977081011293773,159.97661617404293,0,0.0,0
2.0,1011.0,Female,2023-02-01 06:06:00,23-08-2021,16.195380351775942,6.613467266036712,89.48691109891129,Low,Completed,89.48691109891129,6,Wednesday,2,0,True,False,True,False,False,1,7,Medium,4.505205211504824,8.325186103809415,180.72599969785708,0,0.0,0
3.0,1061.0,Male,2023-01-01 13:10:00,08-03-2022,34.62199354595117,0.300753288149334,158.35035363776507,High,Completed,158.35035363776507,13,Sunday,1,1,True,False,False,False,False,3,7,Medium,5.071105260112625,5.816073068761925,163.53012840048527,0,0.0,1
4.0,1079.0,Female,2023-01-01 09:07:00,24-12-2020,24.471400457087,7.685529445834058,251.40716136914816,Low,Cancelled,251.40716136914816,9,Sunday,1,0,False,False,False,False,True,1,3,Low,5.531043503359431,7.365164030019346,184.33844708573966,1,0.3333333333333333,1
5.0,1082.0,Female,2023-01-01 01:41:00,16-04-2021,25.358445451876836,21.018589172616508,33.802051675760765,Medium,Completed,46.52489968778974,1,Sunday,1,0,False,True,False,False,True,2,1,Low,3.549676341242602,21.018589172616508,33.802051675760765,0,0.0,0
6.0,1007.0,Female,2023-01-01 01:41:00,14-07-2022,21.29493698310481,3.022166400648665,175.61530920660175,Low,Completed,175.61530920660175,1,Sunday,1,0,True,False,False,False,False,1,3,Low,5.173973973011724,6.003765921689958,247.4835185430061,0,0.0,1
7.0,1148.0,Male,2023-01-01 00:35:00,01-10-2020,14.894059132933927,0.7405078225031021,142.0656674736284,Medium,Completed,142.0656674736284,0,Sunday,1,1,True,False,False,False,False,2,1,Low,4.963303737956135,0.7405078225031021,142.0656674736284,0,0.0,1
8.0,1080.0,Male,2023-01-01 20:06:00,17-12-2020,24.328164193380832,15.74555721027564,286.0771739428187,Low,Completed,286.0771739428187,20,Sunday,1,1,True,False,False,False,False,1,3,Low,5.659751078368297,10.393660514058288,239.37920428340013,1,0.0,0
9.0,1117.0,Male,2023-01-01 09:11:00,28-08-2020,33.31628307664469,10.96833187947734,45.84732208245964,Medium,Completed,46.52489968778974,9,Sunday,1,1,True,False,False,False,False,2,2,Low,3.846893847658234,6.561053585237039,120.02651338683128,1,0.0,0
10.0,1197.0,Male,2023-01-01 12:18:00,11-03-2021,24.723293324057387,8.749679522093746,187.40324923948975,Medium,Cancelled,187.40324923948975,12,Sunday,1,1,False,False,True,False,False,2,3,Low,5.238584608487651,7.31521623621441,230.07927501928225,0,0.3333333333333333,0
