customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,join_date,debt_to_income,annual_income_winsor,spending_ratio_log,join year,join month,join day,join weekday,education level encoded,gender_encoded,income_bin,repayment_risk,good_credit_flag,transaction quantile,transaction_kmeans_bin,debt to income ratio,avg monthly transactions,spending to income
10001,59.0,Male,East,Graduate,Unemployed,267192.5518214824,26450.21073646691,Education,381.5211952882508,10,76,3.8016932741297658,1,2017-05-17,0.09899306906630732,267192.5518214824,1.5689686211504466,2017,5,17,2,2.0,1,Low,High Risk,0,Low,0,0.09899306906630732,12.666666666666666,1.4228290602463222e-05
10002,49.0,Female,West,Primary,Self-Employed,669582.2653050537,152932.2272435262,Education,675.9573561480221,8,191,18.18788115836808,0,2019-06-15,0.22839945913718623,669582.2653050537,2.9542788900813464,2019,6,15,5,0.0,0,High,High Risk,0,Very High,1,0.22839945913718623,31.833333333333332,2.7163027010701812e-05
10003,35.0,Male,East,Post-Graduate,Salaried,580230.3130984121,722832.8078908555,Other,645.4299768903221,6,56,29.316613883593917,0,2019-09-28,1.2457687776271984,580230.3130984121,3.4116958752365814,2019,9,28,5,3.0,1,Medium,High Risk,0,Low,2,1.2457687776271984,9.333333333333334,5.052582262902484e-05
10004,63.0,Female,East,Secondary,Unemployed,229928.97544813415,495113.3333992512,Education,573.5008051243873,1,122,11.367139635761994,0,2015-10-05,2.1533316209245474,229928.97544813415,2.5150429256933466,2015,10,5,0,1.0,0,Low,No Miss,0,High,0,2.1533316209245474,20.333333333333332,4.943761269586537e-05
10005,28.0,Male,East,Secondary,Salaried,761479.4564484528,73023.53321237248,Business,852.8628924269873,7,179,21.84670226506676,0,2015-06-19,0.09589691828713924,761479.4564484528,3.1288067859212925,2015,6,19,4,1.0,1,High,High Risk,1,Very High,1,0.09589691828713924,29.833333333333332,2.8689811760595594e-05
10006,41.0,Male,North,Secondary,Salaried,943577.378294774,754197.9141884317,Car,745.8476527604755,6,124,34.476557145120495,0,2022-05-05,0.7992963073695265,943577.378294774,3.568872116236993,2022,5,5,3,1.0,1,Very High,High Risk,1,High,0,0.7992963073695265,20.666666666666668,3.6538134484981265e-05
10007,59.0,Other,West,Primary,Self-Employed,450376.595820916,509027.3143721816,Education,540.3597513848598,7,11,32.35834941064341,0,2020-09-19,1.1302259466754951,450376.595820916,3.5073080981682456,2020,9,19,5,0.0,2,Medium,High Risk,0,Very Low,2,1.1302259466754951,1.8333333333333333,7.184731558189164e-05
10008,39.0,Male,South,Post-Graduate,Unemployed,164754.5356579065,20928.699986519965,Education,733.8236879571141,11,15,39.48505780940674,0,2015-09-24,0.1270295831489335,229928.97544813415,3.700932963058677,2015,9,24,3,3.0,1,Low,High Risk,1,Very Low,2,0.1270295831489335,2.5,0.00023965991377252786
10009,43.0,Male,North,Post-Graduate,Salaried,422718.4037745218,147009.29448058567,Other,774.4498076021058,2,107,42.7878524084425,0,2023-02-04,0.3477712187780698,422718.4037745218,3.7793564366429173,2023,2,4,5,3.0,1,Medium,No Miss,1,High,0,0.3477712187780698,17.833333333333332,0.00010122069923235601
10010,31.0,Male,East,Primary,Salaried,813615.1566986735,572841.2569051208,Business,663.2020922617558,6,65,21.659213077658706,0,2018-06-02,0.7040690579431713,813615.1566986735,3.120566527620801,2018,6,2,5,0.0,1,High,High Risk,0,Low,2,0.7040690579431713,10.833333333333334,2.6620955742200245e-05
